duration,end_of_fade_in,key,loudness,mode,start_of_fade_out,tempo,time_signature,artist_name,e_grammy,e_billboard,e_spotify
223.9473,0.316,7,-7.417,1,216.16,119.301,4,Johnny Cash,0.0,0.0,0
317.90975,2.862,1,-7.714,1,303.386,90.024,4,Enrique Iglesias,0.0,0.0,0
193.93261,0.16,7,-8.397,0,182.967,143.997,4,Céline Dion,0.0,0.0,0
207.77751,0.16,9,-7.642,1,197.143,167.888,1,Michael Jackson,0.0,0.0,0
302.81098,0.0,11,-3.575,1,293.634,170.026,4,Eminem,0.0,0.0,0
156.81261,2.49,0,-7.027,1,151.028,74.95,3,James Brown,0.0,0.0,1
254.58893,0.09,4,-6.512,0,238.37,88.109,4,Mariah Carey,0.0,0.0,0
250.43546,0.0,10,-15.261,1,241.998,76.324,3,Johnny Cash,0.0,0.0,0
136.202,0.0,6,-13.71,1,126.38,134.526,1,Johnny Cash,0.0,0.0,0
222.45832,0.408,0,-8.813,0,212.526,73.547,4,Michael Jackson,0.0,0.0,0
214.49098,0.706,6,-8.658,1,198.124,122.035,4,Mariah Carey,0.0,0.0,1
242.93832,0.0,6,-4.544,1,235.427,122.993,4,Weezer,0.0,0.0,0
259.65669,0.189,0,-7.672,1,250.671,168.672,4,Bruce Springsteen,0.0,0.0,0
277.05424,0.16,11,-4.481,1,266.838,83.064,4,Weezer,0.0,0.0,0
355.3171,0.554,5,-10.267,1,344.062,151.228,1,The Black Keys,0.0,0.0,0
392.51546,0.206,4,-9.219,0,388.272,152.038,4,Mannheim Steamroller,0.0,0.0,0
301.71383,0.665,5,-12.988,1,297.059,73.536,4,Coldplay,0.0,0.0,1
32.49587,0.717,5,-16.001,1,32.496,215.865,7,The Black Keys,0.0,0.0,0
252.49914,0.212,0,-7.429,0,252.499,128.202,5,Muse,0.0,0.0,1
168.04526,0.345,7,-13.471,1,162.354,100.82,4,The Black Keys,0.0,0.0,0
221.20444,0.0,9,-6.056,0,215.62,117.108,4,Muse,0.0,0.0,0
261.72036,0.0,2,-5.266,1,261.72,151.11,4,Eminem,0.0,0.0,1
289.85424,0.127,3,-9.183,1,275.209,102.479,4,Mariah Carey,0.0,1.0,1
120.42404,0.252,9,-8.196,1,114.004,157.111,1,The Rolling Stones,0.0,0.0,0
186.14812,1.099,0,-14.011,1,180.28,88.146,1,Bruce Springsteen,0.0,0.0,0
299.85914,0.329,6,-10.29,1,285.826,143.879,4,Céline Dion,0.0,0.0,1
187.45424,0.0,7,-8.388,1,182.938,84.691,4,Michael Bublé,0.0,0.0,0
447.42485,0.0,7,-9.365,1,442.578,102.633,4,Metallica,1.0,1.0,1
270.99383,4.592,6,-23.602,1,262.316,128.272,4,Bruce Springsteen,0.0,0.0,0
219.71546,3.686,10,-14.111,1,212.288,95.346,1,Michael Jackson,0.0,0.0,0
244.45342,3.268,1,-9.599,1,229.436,63.19,4,Daft Punk,0.0,0.0,0
114.49424,0.0,8,-5.819,1,112.181,90.992,4,Eminem,0.0,0.0,0
259.99628,0.0,0,-5.378,1,243.217,117.018,4,Céline Dion,0.0,0.0,0
213.002,5.341,5,-11.896,1,200.319,132.577,4,Bruce Springsteen,0.0,1.0,1
195.52608,0.0,6,-5.987,1,186.886,91.032,4,Enrique Iglesias,0.0,0.0,0
122.93179,0.135,7,-6.279,1,117.545,98.333,3,The Rolling Stones,0.0,0.0,0
164.67546,0.16,9,-11.23,1,159.457,96.056,1,Johnny Cash,0.0,0.0,0
247.84934,0.113,10,-4.894,0,247.849,239.33,4,Daft Punk,0.0,0.0,0
229.14567,0.142,9,-12.829,0,214.274,100.013,4,Daft Punk,0.0,0.0,1
305.29261,2.641,4,-7.896,1,298.098,127.534,1,Bruce Springsteen,0.0,0.0,1
289.04444,0.177,1,-9.605,0,278.291,225.215,4,Coldplay,0.0,0.0,0
191.18975,3.379,9,-4.204,1,186.671,175.692,4,Metallica,0.0,0.0,0
277.08036,0.0,9,-9.871,1,272.637,138.025,3,Mariah Carey,0.0,0.0,0
110.65424,2.461,8,-25.522,1,104.815,118.585,4,John Frizzell,0.0,0.0,0
233.482,0.0,5,-2.776,1,233.482,132.754,1,The Rolling Stones,0.0,1.0,0
323.97016,0.107,11,-6.414,1,312.802,115.03,4,U2,0.0,1.0,1
135.78404,0.188,2,-15.387,1,132.865,40.253,4,Ray Charles,0.0,0.0,0
135.88853,3.802,1,-26.055,1,122.538,132.177,3,John Frizzell,0.0,0.0,0
448.46975,0.0,1,-4.596,1,443.925,130.044,4,Daft Punk,0.0,0.0,1
543.84281,0.218,1,-5.68,1,540.851,135.267,3,Metallica,0.0,0.0,1
223.32036,4.36,2,-8.016,1,215.499,106.056,4,Weezer,0.0,0.0,0
263.94077,2.577,5,-10.001,1,256.743,87.933,4,Mariah Carey,0.0,1.0,1
218.90567,0.113,1,-6.852,0,211.116,69.802,4,The Black Keys,0.0,0.0,0
199.6273,0.363,11,-10.352,0,192.25,128.798,4,U2,0.0,1.0,1
346.14812,0.0,8,-11.736,1,337.131,168.221,3,James Brown,0.0,0.0,0
161.20118,0.553,8,-7.752,1,158.018,121.146,4,Weezer,0.0,0.0,1
274.1024,2.566,9,-8.936,1,269.677,104.535,4,The Rolling Stones,0.0,0.0,0
467.98322,5.869,6,-7.91,0,443.565,121.93,4,Daft Punk,0.0,0.0,0
257.67138,0.406,1,-19.477,1,243.49,83.912,1,Mannheim Steamroller,0.0,0.0,0
232.09751,2.798,7,-3.584,1,218.86,162.003,4,Michael Jackson,0.0,1.0,0
262.05995,0.134,8,-8.719,1,249.876,114.018,4,Michael Jackson,0.0,0.0,0
261.642,0.0,0,-5.302,1,251.548,117.082,4,Mariah Carey,0.0,0.0,0
200.30649,0.427,5,-12.705,1,197.01,121.093,4,Eminem,0.0,1.0,1
238.75873,0.084,7,-8.966,1,233.041,104.517,4,Brad Paisley,0.0,0.0,0
290.61179,3.558,6,-8.062,0,286.209,130.837,4,Mariah Carey,0.0,1.0,0
237.45261,0.0,5,-6.718,0,223.527,140.796,4,Coldplay,0.0,0.0,0
266.762,2.659,9,-9.453,1,258.485,109.631,4,Coldplay,0.0,0.0,0
154.27873,0.135,1,-16.832,0,139.958,176.595,1,Bruce Springsteen,0.0,1.0,1
473.23383,0.0,8,-6.163,1,473.234,119.702,3,Queen,0.0,1.0,1
253.07383,0.131,11,-15.962,1,243.85,90.971,4,U2,0.0,0.0,0
214.15138,0.0,8,-3.417,1,194.467,117.734,4,Weezer,0.0,0.0,0
160.15628,2.879,3,-12.496,1,150.477,128.223,4,James Brown,0.0,0.0,0
325.01506,0.0,5,-8.292,1,322.421,107.026,4,Céline Dion,0.0,0.0,0
239.12444,0.139,9,-6.734,0,223.811,78.497,3,The Black Keys,0.0,0.0,1
182.38649,0.084,7,-13.825,1,176.263,106.287,4,Johnny Cash,0.0,0.0,0
167.78404,0.0,3,-2.572,1,162.29,133.109,1,Weezer,0.0,0.0,0
223.84281,0.316,0,-8.553,1,219.725,140.064,4,The Black Keys,0.0,0.0,0
165.25016,0.447,7,-13.375,1,153.542,106.092,4,Johnny Cash,0.0,0.0,0
204.82567,0.293,0,-20.208,0,194.978,72.756,3,John Frizzell,0.0,0.0,0
189.90975,2.328,9,-9.658,1,178.329,121.567,3,Mariah Carey,0.0,0.0,0
211.04281,0.508,9,-13.074,1,197.671,74.352,4,Brad Paisley,0.0,0.0,0
243.30404,3.082,1,-3.827,0,238.649,121.589,4,Muse,0.0,0.0,1
327.8624,0.235,11,-6.096,1,305.482,132.73,4,Coldplay,0.0,0.0,1
213.57669,2.322,0,-9.672,1,206.478,136.387,1,Bruce Springsteen,0.0,0.0,0
206.47138,2.676,11,-6.287,0,195.767,100.548,4,Mariah Carey,0.0,0.0,0
175.25506,0.171,9,-16.029,1,165.059,99.337,4,Ray Charles,0.0,0.0,0
277.49832,3.024,0,-16.065,1,271.018,72.667,3,Johnny Cash,0.0,0.0,0
109.00853,0.282,9,-9.908,1,97.309,205.347,4,John Frizzell,0.0,0.0,0
152.52853,0.334,0,-6.521,0,148.782,122.413,4,The Black Keys,0.0,0.0,0
382.64118,0.154,9,-5.038,0,367.926,117.032,4,Michael Jackson,1.0,1.0,1
83.12118,0.443,8,-26.09,1,78.036,121.75,3,John Frizzell,0.0,0.0,0
177.10975,3.024,3,-9.854,1,164.345,82.384,3,Weezer,0.0,0.0,0
250.27873,0.404,7,-10.596,1,238.997,151.059,4,Brad Paisley,0.0,0.0,0
399.51628,0.0,11,-0.726,0,392.278,129.415,1,Metallica,0.0,1.0,0
284.682,0.0,8,-5.117,1,281.449,119.807,5,Metallica,0.0,1.0,1
231.83628,0.18,9,-17.512,1,212.323,90.897,4,Brad Paisley,0.0,0.0,0
157.1522,0.0,2,-7.267,1,149.258,119.378,4,The Rolling Stones,0.0,0.0,0
283.58485,3.228,1,-4.532,0,266.728,163.455,1,Eminem,0.0,1.0,1
258.29832,0.252,6,-8.135,0,246.073,157.799,4,Mariah Carey,0.0,1.0,1
316.73424,0.438,0,-18.926,1,291.492,85.047,3,Mannheim Steamroller,0.0,0.0,0
270.52363,12.225,0,-13.273,1,250.63,95.89,3,U2,0.0,0.0,0
380.76036,0.183,0,-6.548,1,380.76,85.124,4,Muse,0.0,0.0,0
308.50567,0.212,8,-6.203,1,300.048,166.011,4,Metallica,0.0,0.0,1
229.14567,0.0,9,-3.467,1,224.996,108.185,4,Céline Dion,0.0,0.0,0
324.49261,15.128,3,-14.74,0,290.546,89.868,4,U2,0.0,0.0,1
130.95138,0.112,1,-5.577,1,118.921,137.302,4,The Black Keys,0.0,0.0,0
33.27955,0.428,1,-24.945,1,33.28,132.468,5,Eminem,0.0,0.0,0
365.16526,0.0,2,-6.517,1,361.361,114.039,4,Bruce Springsteen,0.0,0.0,0
266.89261,0.0,7,-5.645,1,249.76,172.733,4,Eminem,0.0,0.0,1
191.99955,0.0,1,-7.134,1,182.753,110.147,4,Michael Jackson,0.0,1.0,0
241.162,0.369,2,-5.318,1,231.515,108.054,1,The Black Keys,0.0,0.0,0
247.87546,0.067,4,-4.491,0,245.098,163.879,4,Eminem,0.0,0.0,1
266.23955,0.189,3,-3.609,0,266.24,122.651,4,Metallica,0.0,1.0,1
191.242,0.316,7,-14.44,0,187.054,61.737,4,Ray Charles,0.0,0.0,0
236.82567,0.264,3,-4.17,1,231.636,101.947,5,Enrique Iglesias,0.0,0.0,0
272.3522,0.177,10,-5.851,1,253.655,148.079,4,Céline Dion,0.0,0.0,1
413.64853,2.038,11,-6.691,0,397.636,117.189,4,Daft Punk,0.0,0.0,0
230.26893,0.0,7,-4.293,1,209.084,102.491,5,Eminem,0.0,0.0,1
276.37506,0.187,1,-6.656,1,261.892,85.294,4,Eminem,0.0,0.0,0
220.49914,0.142,11,-7.728,1,207.43,135.379,3,Céline Dion,0.0,0.0,0
266.91873,0.165,0,-8.714,1,251.844,105.676,4,Brad Paisley,0.0,1.0,0
204.48608,0.369,2,-7.166,1,201.567,133.845,4,Céline Dion,0.0,0.0,0
222.53669,3.379,5,-16.971,1,209.949,101.277,4,Mannheim Steamroller,0.0,0.0,0
388.70159,0.793,1,-13.687,0,370.776,107.798,4,U2,0.0,0.0,0
107.12771,6.705,8,-26.33,1,107.128,95.215,1,John Frizzell,0.0,0.0,0
263.57506,0.0,7,-8.406,1,247.298,156.2,4,The Rolling Stones,0.0,0.0,0
293.09342,0.0,11,-9.785,1,285.298,204.081,4,Metallica,0.0,0.0,1
201.42975,0.572,0,-4.8,1,187.077,124.056,4,The Rolling Stones,0.0,0.0,0
273.84118,3.233,6,-8.365,1,255.199,102.773,4,U2,0.0,0.0,0
372.16608,5.108,3,-5.26,0,367.107,142.146,4,Metallica,0.0,0.0,0
313.15546,0.281,10,-3.827,0,306.114,110.403,4,Metallica,0.0,0.0,0
253.70077,0.171,0,-6.277,0,245.835,73.551,4,The Black Keys,0.0,0.0,0
185.49506,4.981,0,-13.545,1,178.08,171.442,4,Johnny Cash,0.0,0.0,0
254.69342,0.154,3,-5.791,1,239.264,172.047,4,Céline Dion,0.0,0.0,0
206.88934,0.235,7,-5.243,1,203.372,135.007,4,U2,0.0,0.0,0
187.01016,0.274,8,-18.62,1,180.146,132.33,4,Ray Charles,0.0,0.0,0
226.95138,0.068,7,-4.817,0,213.328,125.319,5,Linkin Park,0.0,0.0,1
290.19383,3.924,3,-6.078,1,276.59,110.288,4,Bruce Springsteen,1.0,1.0,1
151.77098,0.2,9,-16.869,0,139.651,119.024,4,Johnny Cash,0.0,1.0,0
274.78159,5.921,11,-7.954,0,268.597,126.09,4,Daft Punk,0.0,0.0,0
91.95057,0.183,5,-14.432,0,89.693,119.102,4,Johnny Cash,0.0,0.0,1
238.00118,0.34,5,-4.923,1,230.417,126.497,4,Nickelback,0.0,0.0,0
283.8722,2.653,4,-7.359,0,267.14,181.701,3,Muse,0.0,0.0,0
296.80281,0.0,6,-7.266,0,283.823,126.195,4,Coldplay,0.0,0.0,1
213.02812,0.206,2,-6.413,1,204.626,156.097,4,Céline Dion,0.0,0.0,0
181.002,0.0,1,-5.883,1,175.938,89.602,4,Mariah Carey,0.0,1.0,0
99.47383,0.0,1,-14.136,1,95.028,167.083,1,Johnny Cash,0.0,0.0,0
231.78404,0.397,0,-12.983,0,205.775,107.798,4,Mariah Carey,0.0,1.0,1
254.77179,0.218,7,-4.733,1,242.678,86.791,5,Céline Dion,0.0,0.0,1
146.25914,0.218,7,-9.965,0,137.41,85.907,4,Johnny Cash,1.0,0.0,1
199.94077,0.583,7,-6.448,1,192.615,114.592,4,Weezer,0.0,0.0,1
246.62159,0.241,9,-9.646,1,233.076,126.17,4,Céline Dion,0.0,0.0,0
273.78893,3.088,10,-25.785,0,247.188,140.295,1,John Frizzell,0.0,0.0,0
152.16281,0.061,4,-8.946,1,142.42,172.176,4,Ray Charles,0.0,0.0,0
154.74893,0.299,10,-11.076,1,150.889,167.494,1,Johnny Cash,0.0,0.0,0
178.78159,0.392,8,-6.304,1,169.25,100.633,4,Ray Charles,1.0,1.0,0
137.09016,0.0,2,-12.517,1,132.818,97.301,3,Ray Charles,0.0,0.0,0
320.49587,0.396,4,-6.847,1,314.149,59.553,1,Eminem,0.0,0.0,1
298.4224,0.0,2,-11.47,1,287.161,83.507,4,Adam Sandler,0.0,0.0,0
234.70975,0.073,1,-4.675,0,223.782,120.032,4,Enrique Iglesias,0.0,0.0,0
273.47546,0.659,11,-7.804,0,258.084,139.81,4,Coldplay,0.0,0.0,1
365.45261,3.431,4,-7.405,0,348.741,148.288,4,Muse,0.0,0.0,1
175.5424,0.263,0,-15.369,1,164.931,122.834,4,Ray Charles,0.0,0.0,0
227.99628,6.856,1,-7.532,0,216.77,151.942,4,Coldplay,0.0,1.0,1
162.14159,0.634,0,-7.451,1,149.136,166.664,4,Michael Jackson,0.0,0.0,0
198.922,0.276,4,-9.395,1,186.625,130.609,3,Céline Dion,0.0,0.0,0
257.69751,6.908,11,-10.223,0,250.828,96.006,4,Eminem,0.0,0.0,0
253.6224,0.078,10,-6.963,1,240.321,123.019,4,Enrique Iglesias,0.0,0.0,1
232.28036,0.212,0,-13.236,1,221.124,101.627,4,Johnny Cash,0.0,0.0,0
73.32526,0.148,5,-6.957,1,67.408,117.983,4,Johnny Cash,0.0,0.0,0
255.9473,0.0,3,-3.855,1,248.128,107.452,4,Weezer,0.0,0.0,0
176.22159,1.559,0,-11.998,1,161.895,118.78,4,The Black Keys,0.0,0.0,0
362.37016,0.364,6,-4.03,0,352.653,124.918,5,Michael Jackson,0.0,1.0,1
231.18322,0.0,7,-10.059,1,225.779,78.936,4,Johnny Cash,0.0,0.0,1
108.35546,0.109,1,-12.085,1,103.178,93.671,4,Johnny Cash,0.0,0.0,0
229.22404,0.2,11,-9.391,0,214.471,124.968,4,Mariah Carey,0.0,0.0,0
224.39138,0.235,10,-6.485,0,215.423,127.96,4,Enrique Iglesias,0.0,0.0,1
56.5024,0.071,4,-4.541,1,56.502,136.3,4,Eminem,0.0,0.0,0
161.17506,0.369,10,-10.08,1,159.028,118.299,4,Brad Paisley,0.0,0.0,0
380.57751,0.328,10,-6.918,0,374.282,124.995,5,Enrique Iglesias,0.0,0.0,0
194.21995,0.369,2,-5.771,1,185.324,119.519,4,The Black Keys,0.0,0.0,0
266.34404,0.327,7,-10.343,1,251.275,95.844,4,Bruce Springsteen,0.0,0.0,0
159.4771,0.345,4,-9.499,1,155.028,122.977,4,Daft Punk,0.0,0.0,0
281.33832,0.0,11,-5.324,0,262.885,86.82,4,U2,0.0,0.0,0
158.04036,0.171,5,-13.397,0,148.271,83.717,1,Ray Charles,0.0,0.0,0
167.13098,0.0,9,-9.136,1,158.883,120.355,4,U2,0.0,0.0,0
248.842,2.525,1,-10.676,1,241.279,152.764,4,Michael Jackson,0.0,0.0,1
188.78649,0.178,1,-5.82,0,179.647,144.045,4,Weezer,0.0,0.0,0
214.96118,0.704,1,-6.387,0,208.44,93.865,4,Enrique Iglesias,0.0,0.0,0
288.05179,1.083,5,-7.333,0,275.528,111.115,4,Enrique Iglesias,0.0,0.0,0
135.70567,4.87,5,-17.329,1,127.449,154.839,4,Bruce Springsteen,0.0,0.0,0
203.49342,0.091,9,-10.812,1,191.176,183.11,4,Johnny Cash,0.0,0.0,0
202.26567,0.136,7,-7.658,0,202.266,126.5,4,Weezer,0.0,0.0,0
237.40036,0.0,5,-3.414,1,225.744,119.841,5,Eminem,0.0,0.0,0
240.5873,0.322,6,-4.694,0,227.172,135.045,4,Céline Dion,0.0,0.0,1
64.1824,0.102,1,-9.951,1,64.182,120.089,4,Mariah Carey,0.0,0.0,0
225.01832,0.275,4,-10.733,1,213.136,89.64,4,Michael Jackson,0.0,0.0,0
226.63791,3.175,4,-8.254,1,207.226,109.97,4,U2,1.0,0.0,1
207.01995,6.827,7,-4.866,1,198.502,158.012,4,Muse,0.0,0.0,0
223.86893,12.893,3,-13.208,0,218.523,151.605,7,Céline Dion,0.0,0.0,0
142.88934,0.287,10,-20.029,1,130.061,99.088,4,John Frizzell,0.0,0.0,0
236.64281,0.572,5,-12.172,1,225.669,120.168,4,Mannheim Steamroller,0.0,0.0,0
373.73342,18.895,7,-12.462,0,361.581,135.956,7,Michael Jackson,0.0,0.0,0
189.70077,0.136,10,-13.514,1,181.632,87.406,4,Michael Jackson,0.0,0.0,0
228.44036,0.0,4,-3.195,1,219.963,125.096,4,U2,0.0,0.0,0
286.92853,0.427,7,-5.83,1,276.898,121.131,4,Muse,0.0,0.0,0
198.53016,0.467,9,-8.049,1,194.589,179.978,4,Brad Paisley,0.0,0.0,0
217.70404,0.355,9,-13.07,1,207.174,149.499,3,Johnny Cash,0.0,0.0,0
219.37587,0.235,9,-7.834,0,207.453,122.01,3,Céline Dion,0.0,0.0,0
113.13587,0.235,9,-4.65,1,106.8,112.691,4,Weezer,0.0,0.0,0
339.43465,0.363,2,-8.569,1,330.17,133.983,4,The Black Keys,0.0,0.0,0
254.85016,0.151,6,-12.095,1,242.045,97.496,4,Brad Paisley,0.0,0.0,0
165.14567,2.572,11,-20.054,1,158.534,78.674,4,Muse,0.0,0.0,0
157.75302,0.253,2,-9.467,1,140.875,115.329,4,Johnny Cash,0.0,0.0,0
224.49587,0.115,9,-7.306,1,219.87,139.645,4,The Black Keys,0.0,0.0,0
219.16689,2.183,3,-7.902,0,207.557,134.102,4,Céline Dion,0.0,0.0,0
130.58567,0.0,1,-5.103,0,123.669,105.351,4,Johnny Cash,0.0,0.0,0
265.40363,0.0,11,-3.236,1,253.045,110.998,4,Eminem,0.0,0.0,1
241.81506,0.183,6,-7.414,1,229.97,165.887,1,Weezer,0.0,0.0,1
330.21342,0.438,0,-6.416,1,321.051,112.009,3,Enrique Iglesias,0.0,0.0,1
418.11546,2.252,7,-9.541,1,405.246,203.592,3,James Brown,0.0,0.0,0
34.58567,0.212,1,-18.118,1,30.859,171.093,5,Brad Paisley,0.0,0.0,0
84.94975,0.206,11,-4.714,1,80.504,74.956,3,Weezer,0.0,0.0,0
262.26893,0.2,9,-8.335,1,252.511,167.628,4,Johnny Cash,0.0,0.0,0
216.29342,0.0,7,-6.478,1,205.659,130.031,4,Mariah Carey,0.0,0.0,0
326.63465,0.0,6,-8.238,1,326.635,126.499,4,Daft Punk,0.0,0.0,1
393.29914,0.113,1,-4.121,1,373.777,103.145,4,Michael Jackson,0.0,1.0,1
267.17995,6.188,1,-8.572,1,247.345,103.022,1,Mariah Carey,0.0,0.0,0
283.03628,0.0,8,-2.801,1,269.839,114.399,4,Eminem,0.0,0.0,1
96.86159,2.426,0,-28.361,1,96.862,143.866,1,John Frizzell,0.0,0.0,0
155.79383,0.49,0,-12.384,1,152.567,157.385,4,Bruce Springsteen,0.0,0.0,0
192.44363,3.239,2,-11.288,0,184.697,116.603,4,Bruce Springsteen,0.0,0.0,1
223.42485,0.768,0,-10.51,0,205.009,139.107,3,Muse,0.0,0.0,0
184.00608,0.119,3,-10.106,1,180.332,134.005,3,Ray Charles,0.0,0.0,0
359.3922,0.409,7,-4.559,1,340.207,89.971,4,Eminem,0.0,0.0,1
262.68689,0.0,1,-6.526,1,259.251,113.982,4,Weezer,0.0,0.0,0
261.40689,0.154,4,-11.275,1,258.38,79.152,4,Coldplay,0.0,0.0,0
193.09669,0.165,8,-9.447,1,181.203,105.92,4,Michael Jackson,0.0,0.0,0
210.33751,0.0,0,-22.344,1,200.243,108.544,7,Bruce Springsteen,0.0,0.0,0
242.33751,0.0,11,-3.967,0,242.338,155.223,4,The Rolling Stones,0.0,1.0,1
199.23546,2.531,3,-21.72,1,190.897,93.499,1,John Frizzell,0.0,0.0,0
316.65587,0.0,7,-12.049,1,303.996,132.691,4,U2,0.0,1.0,1
